FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY ITEM,Carbon footprint  (kg CO2 eq/kg or litre of food commodity),Type of source,Full Reference,Publication year,System Boundary  Distribution,Country,Region,Notes,Reported in other data summaries,Modification of original values 
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,CHICKEN BONE FREE MEAT,6.255,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,ESTONIA,E EUROPE,-,Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,CHICKEN BONE FREE MEAT,6.4,CONFERENCE,"Leinonen, I., A. Williams and I. Kyriazakis (2012). Quantifying environmental impacts and their uncertainties for UK broiler and egg production systems. 8th International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2012). Saint Malo, France. Rennes.",2012,RDC,UK,N EUROPE,organic,Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,CHICKEN BONE FREE MEAT,6.4,EPD,"The Co-operative Group (2010). The Co-operative Group Sustainability Report 2010. Manchester, The Co-operative Group Limited.",2010,RDC,UK,N EUROPE,organic,Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,CHICKEN BONE FREE MEAT,7.403,REPORT,"Gerber, P. J., H. Steinfeld, B. Henderson, A. Mottet, C. Opio, J. Dijkman, A. Falcucci and G. Tempio (2013). Tackling climate change through livestock, A global assessment of emissions and mitigation opportunities. Rome, Food and Agriculture Organization of the United Nations (FAO).",2013,RDC,ASIA (EAST AND SOUTH-EAST),ASIA,-,Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,CHICKEN BONE FREE MEAT,7.532,REPORT,"Gerber, P. J., H. Steinfeld, B. Henderson, A. Mottet, C. Opio, J. Dijkman, A. Falcucci and G. Tempio (2013). Tackling climate change through livestock, A global assessment of emissions and mitigation opportunities. Rome, Food and Agriculture Organization of the United Nations (FAO).",2013,RDC,AFRICA (NEAR EAST AND NORTH),AFRICA,-,Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,CHICKEN BONE FREE MEAT,7.532,REPORT,"Gerber, P. J., H. Steinfeld, B. Henderson, A. Mottet, C. Opio, J. Dijkman, A. Falcucci and G. Tempio (2013). Tackling climate change through livestock, A global assessment of emissions and mitigation opportunities. Rome, Food and Agriculture Organization of the United Nations (FAO).",2013,RDC,S AMERICA (LATIN AMERICA AND CARIBEAN),S AMERICA,-,Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,CHICKEN BONE FREE MEAT,7.857,REPORT,"Gerber, P. J., H. Steinfeld, B. Henderson, A. Mottet, C. Opio, J. Dijkman, A. Falcucci and G. Tempio (2013). Tackling climate change through livestock, A global assessment of emissions and mitigation opportunities. Rome, Food and Agriculture Organization of the United Nations (FAO).",2013,RDC,W EUROPE,W EUROPE,-,Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,CHICKEN BONE FREE MEAT,7.914,REPORT,"Helgeson, P. (2011). An overview Life Cycle Assessment in the poultry industry. Minnesota Environmental Initiative.",2011,RDC,USA,N AMERICA,b/s thighs conventional brolier house,Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,CHICKEN BONE FREE MEAT,7.935,REPORT,"Helgeson, P. (2011). An overview Life Cycle Assessment in the poultry industry. Minnesota Environmental Initiative.",2011,RDC,USA,N AMERICA,tenders conventional brolier house,Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,CHICKEN BONE FREE MEAT,8.052,REPORT,"Gerber, P. J., H. Steinfeld, B. Henderson, A. Mottet, C. Opio, J. Dijkman, A. Falcucci and G. Tempio (2013). Tackling climate change through livestock, A global assessment of emissions and mitigation opportunities. Rome, Food and Agriculture Organization of the United Nations (FAO).",2013,RDC,ASIA (SOUTH),ASIA,-,Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,CHICKEN BONE FREE MEAT,9.981,JOURNAL,"Bengtsson, J. and J. Seddon (2013). ""Cradle to retailer or quick service restaurant gate life cycle assessment of chicken products in Australia."" Journal of Cleaner Production 41(0): 291-300.",2013,RESTAURANT,AUSTRALIA,OCEANIA,breast fillet free-range delivered to restaurant,Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,CHICKEN BONE FREE MEAT,16.286,JOURNAL,"Phong, L.T., I.J.M. de Boer, H.M.J. Udo. Life cycle assessment of food production in integrated agricultureâaquaculture systems of the Mekong Delta, Livest Sci 139:80â9, 2011.",2011,RDC,VIETNAM,ASIA,converted to bone free,BCFN (double pyramid 2016),P+T
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,DUCK BONE FREE MEAT,4.1,REPORT,"Tucker, G., C. Foster and J. Wiltshire (2010). Life Cycle Analysis and Carbon Footprinting with respect to Sustainability in the Agri-food sector. Oakville, The International Union of Food Science and Technology.",2010,RDC,UK,N EUROPE,-,Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,EMU BONE FREE MEAT,1.5,REPORT,"Michael, D. (2011). Carbon Reduction Benchmarks & Strategies New animal products. RIRDC Publication No. 11/063. Sydney, Rural Industries Research and Development Corporation.",2011,RDC,AUSTRALIA,OCEANIA,-,Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,TURKEY BONE FREE MEAT,2.807,JOURNAL,"VergÃ©, X. P. C., J. A. Dyer, R. L. Desjardins and D. Worth (2009). ""Long-term trends in greenhouse gas emissions from the Canadian poultry industry."" The Journal of Applied Poultry Research 18(2): 210-222.",2009,RDC,CANADA,N AMERICA,bone free,this study,P+T
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,TURKEY BONE FREE MEAT,3.51,JOURNAL,"VergÃ©, X. P. C., J. A. Dyer, R. L. Desjardins and D. Worth (2009). ""Long-term trends in greenhouse gas emissions from the Canadian poultry industry."" The Journal of Applied Poultry Research 18(2): 210-222.",2009,RDC,CANADA,N AMERICA,bone free,this study,P+T
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,TURKEY BONE FREE MEAT,3.621,JOURNAL,"VergÃ©, X. P. C., J. A. Dyer, R. L. Desjardins and D. Worth (2009). ""Long-term trends in greenhouse gas emissions from the Canadian poultry industry."" The Journal of Applied Poultry Research 18(2): 210-222.",2009,RDC,CANADA,N AMERICA,bone free,this study,P+T
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,TURKEY BONE FREE MEAT,3.76,REPORT,"Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf",2009,RDC,UK,N EUROPE,not specified if bone in or bone free,Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,TURKEY BONE FREE MEAT,3.87,REPORT,"Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf",2009,RDC,UK,N EUROPE,not specified if bone in or bone free,Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,TURKEY BONE FREE MEAT,4.029,JOURNAL,"VergÃ©, X. P. C., J. A. Dyer, R. L. Desjardins and D. Worth (2009). ""Long-term trends in greenhouse gas emissions from the Canadian poultry industry."" The Journal of Applied Poultry Research 18(2): 210-222.",2009,RDC,CANADA,N AMERICA,bone free,this study,P+T
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,TURKEY BONE FREE MEAT,4.14,JOURNAL,"VergÃ©, X. P. C., J. A. Dyer, R. L. Desjardins and D. Worth (2009). ""Long-term trends in greenhouse gas emissions from the Canadian poultry industry."" The Journal of Applied Poultry Research 18(2): 210-222.",2009,RDC,CANADA,N AMERICA,bone free,this study,P+T
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,TURKEY BONE FREE MEAT,4.233,JOURNAL,"VergÃ©, X. P. C., J. A. Dyer, R. L. Desjardins and D. Worth (2009). ""Long-term trends in greenhouse gas emissions from the Canadian poultry industry."" The Journal of Applied Poultry Research 18(2): 210-222.",2009,RDC,CANADA,N AMERICA,bone free,this study,P+T
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,TURKEY BONE FREE MEAT,7.17,CONFERENCE,"Leinonen, I. and A. G. W. I. Kyriazakis (2014). Comparing UK turkey production systems using analytical error propagation in uncertainty analysis. Proceedings of the 9th International Conference on Life Cycle Assessment in the Agri-Food Sector. San Francisco: 702-710.",2014,RDC,UK,N EUROPE,"hens, natural ventilation",Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,TURKEY BONE FREE MEAT,7.547,CONFERENCE,"Leinonen, I. and A. G. W. I. Kyriazakis (2014). Comparing UK turkey production systems using analytical error propagation in uncertainty analysis. Proceedings of the 9th International Conference on Life Cycle Assessment in the Agri-Food Sector. San Francisco: 702-710.",2014,RDC,UK,N EUROPE,"hens, controlled ventilation",Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,TURKEY BONE FREE MEAT,8.103,CONFERENCE,"Leinonen, I. and A. G. W. I. Kyriazakis (2014). Comparing UK turkey production systems using analytical error propagation in uncertainty analysis. Proceedings of the 9th International Conference on Life Cycle Assessment in the Agri-Food Sector. San Francisco: 702-710.",2014,RDC,UK,N EUROPE,"stags, natural ventilation",Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY BONE FREE MEAT,TURKEY BONE FREE MEAT,8.491,CONFERENCE,"Leinonen, I. and A. G. W. I. Kyriazakis (2014). Comparing UK turkey production systems using analytical error propagation in uncertainty analysis. Proceedings of the 9th International Conference on Life Cycle Assessment in the Agri-Food Sector. San Francisco: 702-710.",2014,RDC,UK,N EUROPE,"stags, controlled ventilation",Clune et al 2017 database,-
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,0.848,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,LATVIA,E EUROPE,conventional,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,1.348,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,LITHUANIA,E EUROPE,conventional,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,1.448,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,BULGARIA,E EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,1.552,CONFERENCE,"Vamilson PrudÃªncio da Silva, Hayo van der Werf and SebastiÃ£o Roberto Soares (2010). LCA of French and Brazilian broiler poultry production system. Proceedings of the VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010). Bari, Italy.",2010,RDC,BRAZIL,S AMERICA,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,1.768,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,SWEDEN,N EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,1.798,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,BELGIUM,N EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,1.798,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,CZECH REPUBLIC,E EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,1.848,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,ROMANIA,E EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,1.928,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,SPAIN,MEDITERRANEAN AREA,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,1.957,REPORT,"Cederberg, C., U. Sonesson, M. Henriksson, V. Sund and J. Davis (2009). Greenhouse gas emissions from Swedish production of meat, milk and eggs 1990 and 2005. SIK Report No 793. Sweden, SIK.",2009,RDC,SWEDEN,N EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,1.988,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,AUSTRIA,N EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,1.988,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,SLOVAKIA,E EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.03,REPORT,"Wiedemann, S., E. McGahan and G. Poad (2012). Using Life Cycle Assesment to quantify the environmetal impact of chicken meat production. Toowoomba, FSA consulting for RIRDC.",2012,RDC,AUSTRALIA,OCEANIA,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.034,REPORT,"Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf",2009,RDC,UK,N EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.063,JOURNAL,"VergÃ©, X. P. C., J. A. Dyer, R. L. Desjardins and D. Worth (2009). ""Long-term trends in greenhouse gas emissions from the Canadian poultry industry."" The Journal of Applied Poultry Research 18(2): 210-222.",2009,RDC,CANADA (EAST),N AMERICA,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.09,JOURNAL,"PrudÃªncio da Silva, V., H. M. G. van der Werf, S. R. Soares and M. S. Corson (2014). ""Environmental impacts of French and Brazilian broiler chicken production scenarios: An LCA approach."" Journal of Environmental Management 133(0): 222-231.",2014,RDC,BRAZIL,S AMERICA,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.106,JOURNAL,"VergÃ©, X. P. C., J. A. Dyer, R. L. Desjardins and D. Worth (2009). ""Long-term trends in greenhouse gas emissions from the Canadian poultry industry."" The Journal of Applied Poultry Research 18(2): 210-222.",2009,RDC,CANADA (WEST),N AMERICA,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.111,JOURNAL,"Pelletier, N. (2008). ""Environmental performance in the US broiler poultry sector: Life cycle energy use and greenhouse gas, ozone depleting, acidifying and eutrophying emissions."" Agricultural Systems 98(2): 67-73.",2008,RDC,USA,N AMERICA,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.118,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,FRANCE,N EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.138,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,ITALY,MEDITERRANEAN AREA,conventional,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.142,JOURNAL,"HallstrÃ¶m, E., E. RÃ¶Ã¶s and P. BÃ¶rjesson (2014). ""Sustainable meat consumption: A quantitative analysis of nutritional intake, greenhouse gas emissions and land use from a Swedish perspective."" Food Policy 47(0): 81-90.",2014,RDC,SWEDEN,N EUROPE,iintensive indoor,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.142,JOURNAL,"HallstrÃ¶m, E., E. RÃ¶Ã¶s and P. BÃ¶rjesson (2014). ""Sustainable meat consumption: A quantitative analysis of nutritional intake, greenhouse gas emissions and land use from a Swedish perspective."" Food Policy 47(0): 81-90.",2014,"RDC, imported",SWEDEN,N EUROPE,intensive indoor,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.149,JOURNAL,"VergÃ©, X. P. C., J. A. Dyer, R. L. Desjardins and D. Worth (2009). ""Long-term trends in greenhouse gas emissions from the Canadian poultry industry."" The Journal of Applied Poultry Research 18(2): 210-222.",2009,RDC,CANADA (WEST),N AMERICA,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.162,CONFERENCE,"Vamilson PrudÃªncio da Silva, Hayo van der Werf and SebastiÃ£o Roberto Soares (2010). LCA of French and Brazilian broiler poultry production system. Proceedings of the VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010). Bari, Italy.",2010,RDC,BRAZIL,S AMERICA,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.168,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,DENMARK,N EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.171,REPORT,"Blonk, H., A. Kool, B. Luske and S. d. Waart (2008). Environmental effects of protein-rich food products in the Netherlands Consequences of animal protein substitutes Gouda, Blonk Milieuadvies.",2008,RETAILER,NETHERLANDS,N EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.198,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,UK,N EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.219,REPORT,"Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf",2009,RDC,UK,N EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.234,JOURNAL,"VergÃ©, X. P. C., J. A. Dyer, R. L. Desjardins and D. Worth (2009). ""Long-term trends in greenhouse gas emissions from the Canadian poultry industry."" The Journal of Applied Poultry Research 18(2): 210-222.",2009,RDC,CANADA (EAST),N AMERICA,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.265,CONFERENCE,"Eady, S. J., P. Sanguansri, R. Bektash, B. Ridoutt, L. Simons and P. Swiergon (2011a). Carbon footprint for Australian agricultural products and downstream food products in the supermarket. ALCAS. Melbourne, ALCAS.",2011,RDC,AUSTRALIA,OCEANIA,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.304,REPORT,"Audsley, E., M. Brander, J. Chatterton, D. Murphy-Bokern, C. Webster and A. Williams (2009). How low can we go? An assessment of greenhouse gas emissions from the UK food system and the scope to reduce them by 2050. London, FCRN-WWF. Accessed: 17/02/2015 from: An assessment of greenhouse gas emissions from the UK food system end and the scope to reduce them by 2050 wwf.org.uk/downloads/how_low_report_1.pdf",2009,RDC,EUROPE,EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.312,REPORT,"Blonk, H., A. Kool, B. Luske and S. d. Waart (2008). Environmental effects of protein-rich food products in the Netherlands Consequences of animal protein substitutes Gouda, Blonk Milieuadvies.",2008,RETAILER,BRAZIL,S AMERICA,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.322,CONFERENCE,"Vamilson PrudÃªncio da Silva, Hayo van der Werf and SebastiÃ£o Roberto Soares (2010). LCA of French and Brazilian broiler poultry production system. Proceedings of the VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010). Bari, Italy.",2010,RDC,FRANCE,N EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.33,REPORT,"Wiedemann, S., E. McGahan and G. Poad (2012). Using Life Cycle Assesment to quantify the environmetal impact of chicken meat production. Toowoomba, FSA consulting for RIRDC.",2012,RDC,AUSTRALIA,OCEANIA,"queensland, free range","this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.412,REPORT,"Wiedemann, S., E. McGahan and G. Poad (2012). Using Life Cycle Assesment to quantify the environmetal impact of chicken meat production. Toowoomba, FSA consulting for RIRDC.",2012,RDC,AUSTRALIA,OCEANIA,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.448,JOURNAL,"Lesschen, J. P., M. van den Berg, H. J. Westhoek, H. P. Witzke and O. Oenema (2011). ""Greenhouse gas emission profiles of European livestock sectors."" Animal Feed Science and Technology 166â167(0): 16-28.",2011,RDC,PORTUGAL,MEDITERRANEAN AREA,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.45,REPORT,"Nielsen, N. I., M. JÃ¸rgensen and S. Bahrndorff (2011). Greenhouse Gas Emission from the Danish Broiler Production estimated via LCA Methodology. Aarhius N, Denmark, Agrotech, Knowledge Centre for Agricultural production",2011,RDC,DENMARK,N EUROPE,conventional broiler house,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.496,CONFERENCE,"Katajajuuri, J.-M., J. GroÌnroos and K. Usva (2008). Environmental impacts and related improvement options of supply chain of chicken meat. 6th International Conference on LCA in the Agri-Food Sector. Zurich.",2008,RDC,FINLAND,N EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
ANIMAL HUSBANDRY,POULTRY MEAT WITH BONE,CHICKEN MEAT WITH BONE,2.532,JOURNAL,"GonzÃ¡lez-GarcÃ­a, S., Z. Gomez-FernÃ¡ndez, A. C. Dias, G. Feijoo, M. T. Moreira and L. Arroja (2014). ""Life Cycle Assessment of broiler chicken production: a Portuguese case study."" Journal of Cleaner Production 74(0): 125-134.",2014,RDC,SWEDEN,N EUROPE,-,"this study (in Clune et al., 2017, conversion factor applied)",cf
